"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc31","UDP-GNAc","ng_06","t2","TrueBlank",NA,1,"20181217",97,"58.9%"
"nuc31","UDP-GNAc","ng_06","t12","TrueBlank",NA,1,"20181217",97,"59.7%"
"nuc32","NAD+","ng_07","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc32","NAD+","ng_07","t2","TrueBlank",NA,1,"20181217",0,"2504002.9%"
"nuc32","NAD+","ng_07","t12","TrueBlank",NA,1,"20181217",0,"2370520.6%"
"nuc33","NADH","ng_07","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc33","NADH","ng_07","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc33","NADH","ng_07","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc34","NADP+","ng_07","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc34","NADP+","ng_07","t2","TrueBlank",NA,1,"20181217",0,"2303396.8%"
"nuc34","NADP+","ng_07","t12","TrueBlank",NA,1,"20181217",0,"1295742.4%"
"nuc35","NADPH","ng_07","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc35","NADPH","ng_07","t2","TrueBlank",NA,1,"20181217",0,"179.7%"
"nuc35","NADPH","ng_07","t12","TrueBlank",NA,1,"20181217",0,"2488379.4%"
"nuc36","AcCoA","ng_06","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc36","AcCoA","ng_06","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc36","AcCoA","ng_06","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t12","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc02","dUMP","ng_02","t1","TrueBlank",NA,3,"20181217",747,"18%"
"nuc02","dUMP","ng_02","t2","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc02","dUMP","ng_02","t12","TrueBlank",NA,3,"20181217",747,"18.1%"
"nuc03","dTMP","ng_03","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc03","dTMP","ng_03","t2","TrueBlank",NA,3,"20181217",0,"6409874.4%"
"nuc03","dTMP","ng_03","t12","TrueBlank",NA,3,"20181217",3,"846%"
"nuc04","CMP","ng_01","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
"nuc04","CMP","ng_01","t2","TrueBlank",NA,3,"20181217",25,"110.3%"
"nuc04","CMP","ng_01","t12","TrueBlank",NA,3,"20181217",34,"95.7%"
"nuc05","UMP","ng_02","t1","TrueBlank",NA,3,"20181217",39,"64%"
"nuc05","UMP","ng_02","t2","TrueBlank",NA,3,"20181217",136,"45.4%"
"nuc05","UMP","ng_02","t12","TrueBlank",NA,3,"20181217",178,"36.3%"
"nuc06","cAMP","ng_06","t1","TrueBlank",NA,3,"20181217",0,"Inf%"
