"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"A",18,1,323212,"22.9%",3,"20181217",10
"A",18,2,467679,"26.9%",3,"20181217",10
"A",18,12,791463,"25.1%",3,"20181217",10
"A",19,1,494560,"24.6%",3,"20181217",10
"A",19,2,32952,"25.1%",3,"20181217",10
"A",19,12,527311,"24.6%",3,"20181217",10
"A",20,1,169605,"24.4%",3,"20181217",10
"A",20,2,265509,"25.3%",3,"20181217",10
"A",20,12,434769,"24.8%",3,"20181217",10
"A",21,1,261259,"17.3%",3,"20181217",10
"A",21,2,47787,"19.1%",3,"20181217",10
"A",21,12,307915,"17.4%",3,"20181217",10
"A",22,1,1123220,"18%",3,"20181217",10
"A",22,2,73830,"19%",3,"20181217",10
"A",22,12,1197563,"18%",3,"20181217",10
"A",23,1,321239,"17.5%",3,"20181217",10
"A",23,2,260638,"21.2%",3,"20181217",10
"A",23,12,585260,"18.5%",3,"20181217",10
"A",24,1,350836,"21.5%",3,"20181217",10
"A",24,2,83123,"21.8%",3,"20181217",10
"A",24,12,433563,"21%",3,"20181217",10
"A",25,1,664194,"17.3%",3,"20181217",10
"A",25,2,95216,"17.9%",3,"20181217",10
"A",25,12,759020,"17.3%",3,"20181217",10
"A",26,1,1040060,"17.4%",3,"20181217",10
"A",26,2,952581,"17.2%",3,"20181217",10
"A",26,12,1987384,"16.9%",3,"20181217",10
"A",27,1,909117,"17.8%",3,"20181217",10
"A",27,2,79904,"16.6%",3,"20181217",10
"A",27,12,990385,"17.6%",3,"20181217",10
"A",28,1,448,"43.3%",3,"20181217",10
"A",28,2,190,"52%",3,"20181217",10
"A",28,12,633,"38.4%",3,"20181217",10
"A",29,1,765,"30.5%",3,"20181217",10
"A",29,2,11761,"22.2%",3,"20181217",10
"A",29,12,12381,"21.5%",3,"20181217",10
"A",30,1,5030,"23.8%",3,"20181217",10
"A",30,2,9272,"18.5%",3,"20181217",10
"A",30,12,14408,"19.1%",3,"20181217",10
"A",31,1,2531,"21.5%",3,"20181217",10
"A",31,2,4610,"20%",3,"20181217",10
"A",31,12,7212,"18%",3,"20181217",10
"A",32,1,1035,"33.6%",3,"20181217",10
"A",32,2,8120,"28.1%",3,"20181217",10
"A",32,12,9141,"27.9%",3,"20181217",10
"A",33,1,24948,"23.7%",3,"20181217",10
"A",33,2,24256,"25.4%",3,"20181217",10
"A",33,12,49820,"24%",3,"20181217",10
"A",34,1,38116,"21.9%",3,"20181217",10
"A",34,2,418353,"23%",3,"20181217",10
"A",34,12,457947,"22.8%",3,"20181217",10
"A",35,1,50335,"21.9%",3,"20181217",10
"A",35,2,18937,"23.1%",3,"20181217",10
"A",35,12,69609,"21.8%",3,"20181217",10
"A",36,1,426174,"16.7%",3,"20181217",10
"A",36,2,287831,"17.6%",3,"20181217",10
"A",36,12,710291,"16.9%",3,"20181217",10
"B",1,1,4242,"10.6%",1,"20181217",5
"B",1,2,2059,"13.7%",1,"20181217",5
"B",1,12,6219,"9.5%",1,"20181217",5
"B",2,1,5131,"8.1%",1,"20181217",5
"B",2,2,13385,"6.5%",1,"20181217",5
"B",2,12,18542,"5.9%",1,"20181217",5
"B",3,1,193814,"4.3%",1,"20181217",5
"B",3,2,511873,"4.6%",1,"20181217",5
"B",3,12,706820,"4.4%",1,"20181217",5
"B",4,1,44957,"5.3%",1,"20181217",5
"B",4,2,10344,"7.2%",1,"20181217",5
"B",4,12,55235,"5%",1,"20181217",5
"B",5,1,16481,"5.3%",1,"20181217",5
"B",5,2,6749,"7.3%",1,"20181217",5
"B",5,12,23063,"5.1%",1,"20181217",5
"B",6,1,27015,"4.6%",1,"20181217",5
"B",6,2,291531,"2.9%",1,"20181217",5
"B",6,12,318853,"2.9%",1,"20181217",5
"B",7,1,53055,"3.7%",1,"20181217",5
"B",7,2,9637,"7.1%",1,"20181217",5
"B",7,12,62627,"3.6%",1,"20181217",5
"B",8,1,3791,"9.9%",1,"20181217",5
"B",8,2,17876,"6%",1,"20181217",5
"B",8,12,21711,"5.7%",1,"20181217",5
"B",9,1,90885,"5.1%",1,"20181217",5
"B",9,2,12050,"6.2%",1,"20181217",5
"B",9,12,102566,"5%",1,"20181217",5
"B",10,1,4700,"8.6%",1,"20181217",5
"B",10,2,3591,"9.6%",1,"20181217",5
"B",10,12,8214,"7%",1,"20181217",5
"B",11,1,3810,"9.1%",1,"20181217",5
"B",11,2,3310,"11.8%",1,"20181217",5
"B",11,12,7218,"8.2%",1,"20181217",5
"B",12,1,83990,"4.8%",1,"20181217",5
"B",12,2,13950,"6.5%",1,"20181217",5
"B",12,12,97706,"4.8%",1,"20181217",5
"B",13,1,65432,"2.9%",1,"20181217",5
"B",13,2,20950,"4.1%",1,"20181217",5
"B",13,12,86324,"2.8%",1,"20181217",5
"B",14,1,1458510,"2.9%",1,"20181217",5
"B",14,2,651968,"2.9%",1,"20181217",5
"B",14,12,2116123,"2.7%",1,"20181217",5
"B",15,1,235296,"3.2%",1,"20181217",5
"B",15,2,14849,"6.6%",1,"20181217",5
"B",15,12,249933,"3.2%",1,"20181217",5
"B",16,1,149843,"4.2%",1,"20181217",5
"B",16,2,47920,"5%",1,"20181217",5
"B",16,12,197481,"4.2%",1,"20181217",5
"B",17,1,72685,"5.9%",1,"20181217",5
"B",17,2,19440,"6%",1,"20181217",5
"B",17,12,91739,"5.6%",1,"20181217",5
"B",18,1,242695,"3.9%",1,"20181217",5
"B",18,2,366575,"3.7%",1,"20181217",5
"B",18,12,606713,"3.6%",1,"20181217",5
"B",19,1,379686,"3.8%",1,"20181217",5
"B",19,2,26087,"4.6%",1,"20181217",5
"B",19,12,405854,"3.7%",1,"20181217",5
"B",20,1,143240,"4.3%",1,"20181217",5
"B",20,2,224778,"4.6%",1,"20181217",5
"B",20,12,367964,"4.3%",1,"20181217",5
"B",21,1,226847,"2.9%",1,"20181217",5
"B",21,2,41749,"4.6%",1,"20181217",5
"B",21,12,268902,"3%",1,"20181217",5
"B",22,1,696157,"2.6%",1,"20181217",5
"B",22,2,45702,"3.9%",1,"20181217",5
"B",22,12,742039,"2.6%",1,"20181217",5
"B",23,1,265087,"2.6%",1,"20181217",5
"B",23,2,214660,"2.6%",1,"20181217",5
"B",23,12,479653,"2.4%",1,"20181217",5
"B",24,1,269833,"2.3%",1,"20181217",5
"B",24,2,64086,"3.2%",1,"20181217",5
"B",24,12,334110,"2.3%",1,"20181217",5
"B",25,1,361422,"2.6%",1,"20181217",5
"B",25,2,51065,"2.9%",1,"20181217",5
"B",25,12,412971,"2.5%",1,"20181217",5
"B",26,1,610180,"2.3%",1,"20181217",5
"B",26,2,552462,"2.4%",1,"20181217",5
"B",26,12,1164661,"2.2%",1,"20181217",5
"B",27,1,527522,"2.6%",1,"20181217",5
"B",27,2,46020,"3.8%",1,"20181217",5
"B",27,12,573758,"2.6%",1,"20181217",5
"B",28,1,1680,"14.2%",1,"20181217",5
"B",28,2,613,"22.8%",1,"20181217",5
"B",28,12,2272,"13.2%",1,"20181217",5
"B",29,1,2203,"13.1%",1,"20181217",5
"B",29,2,44744,"3.5%",1,"20181217",5
"B",29,12,46854,"3.5%",1,"20181217",5
"B",30,1,11591,"6.5%",1,"20181217",5
